_id,speaker full name,thumbnail url
6a034c2437e0c30f44bd1cd6,Geert Chatrou,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/1f3397bb947ffafa5c034a5ed7ba72c8a90bbe60_254x191.jpg?w=255
6a034c245e700263ec4ad2a5,Christina Greer,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2437e0c30f44bd1d2c,Tiffany Watt Smith,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/8bc8813fc1c005adb328677f99f5f4f6cbb22ab2_254x191.jpg?w=255
6a034c2435bf06475c27ae67,Caro Verbeek,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c245e700263ec4ad3b0,Boaz Almog,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/15889f97da169e72fbb68736b350d573ecc43978_254x191.jpg?w=255
6a034c2437e0c30f44bd1d3e,Anjali Kumar,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/ea307b950dbaaf00b2d79cf204f475db3b6a3f56_254x191.jpg?w=255
6a034c2435bf06475c27aeab,Lisa Mosconi,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/3a5d0c947a4153757994a23546792df4bcec8aa5_254x191.jpg?w=255
6a034c2437e0c30f44bd1d78,Johnny Staats,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c249bbcd05aa3165b66,Mark Changizi,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27aec6,Rick Falkvinge,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/d13dad96a8770478ab81c0ba382c5cd7e610a099_254x191.jpg?w=255
6a034c2437e0c30f44bd1da2,Mia Birdsong,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/15a2fdffa6d1cfafe87ff969e0ae12c33a2d235c_254x191.jpg?w=255
6a034c2435bf06475c27aeb2,Martin Danoesastro,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/7e06dfbdc677e1488a1ee80696af230f5257ae2a_254x191.jpg?w=255
6a034c2435bf06475c27aec7,Rita Pierson,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2437e0c30f44bd1dcb,Audrey Tang,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/2d7bf4646f3dd3b3aaaca8e1ad3a5ab534d07da8_254x191.jpg?w=255
6a034c2437e0c30f44bd1dea,Chinyanta Kabaso,https://pi.tedcdn.com/r/ted-conferences-speaker-photos-production.s3.amazonaws.com/gcehxunxd3k3anu8v6sir4rxo340?w=255
6a034c24658f0b3b67d4a3da,Joshua Prager,https://pi.tedcdn.com/r/ted-conferences-speaker-photos-production.s3.amazonaws.com/kdk9g4ob42e6xldvxm3zemh20ahp?w=255
6a034c2435bf06475c27aecc,Safeena Husain,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/8397c831acc45d37e17374fa82b556bfdaf63a50_254x191.jpg?w=255
6a034c2437e0c30f44bd1e11,Elizabeth Cawein,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/2206fdb2de4bc120a49a2c0296ea6068301ad25d_254x191.jpg?w=255
6a034c24b9e30957c4388a51,Nicos Marcou,https://pi.tedcdn.com/r/ted-conferences-speaker-photos-production.s3.amazonaws.com/55j7vst38gcvigo70v339lkggiwg?w=255
6a034c2435bf06475c27aed3,Sophie Hunger,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/173896_254x191.jpg?w=255
6a034c2437e0c30f44bd1e19,Henna Pryor,https://pi.tedcdn.com/r/ted-conferences-speaker-photos-production.s3.amazonaws.com/ch9wd3bqmomwviigsmc9qkihywrz?w=255
6a034c2435bf06475c27aed8,Valentin Hammoudi,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2437e0c30f44bd1e52,Justin Trudeau,https://pi.tedcdn.com/r/ted-conferences-speaker-photos-production.s3.amazonaws.com/iko9bml6pq0cyd1kvotvqugfxekg?w=255
6a034c2435bf06475c27affb,Veronica Chau,https://pi.tedcdn.com/r/ted-conferences-speaker-photos-production.s3.amazonaws.com/2cz8918xym4qchr9o34kqfev67ei?w=255
6a034c2437e0c30f44bd1eb3,Shweta Narayan,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/55f12f3a7e2647bc2ce361dbb6f04969a8482076_254x191.jpg?w=255
6a034c2435bf06475c27afff,Vinay Venkatraman,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/f9214cecf0c2b012fc4152ebf86f7f611f52ba42_254x191.jpg?w=255
6a034c2435bf06475c27ae82,George Dyson,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/30167_254x191.jpg?w=255
6a034c245e700263ec4ad1f7,Chika Okoro,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27b000,Vikramāditya Prakāsh,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27b002,Zulfat Suara,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27ae9a,Jonathan Trent,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/f5a62d8065b95c2346fbe02977cfb069998e1883_254x191.jpg?w=255
6a034c245e700263ec4ad22e,Laura Schulz,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/49d1df83c11e82299d57517fb6294b5567ac782f_254x191.jpg?w=255
6a034c2435bf06475c27b025,Danielle Butcher Franz,https://pi.tedcdn.com/r/ted-conferences-speaker-photos-production.s3.amazonaws.com/hz2b6j77rq137xqpiaerxxdj1g57?w=255
6a034c2435bf06475c27aeed,American Family Insurance,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c245e700263ec4ad276,Asaf Bar-Yosef,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27b02c,David R. Flum,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27aeee,Amy Baxter,https://pi.tedcdn.com/r/ted-conferences-speaker-photos-production.s3.amazonaws.com/z2gss9pb4ryh50kmrcb5j3xtiu7y?w=255
6a034c245e700263ec4ad279,Adrian K. Haugabrook,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27b03a,Emily Anhalt,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27af1c,Christian Moro,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c245e700263ec4ad2ed,Johanna Figueira,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/b76cb03a6afe777cc8ed600041987cdc99738ab2_254x191.jpg?w=255
6a034c2435bf06475c27b069,Manav Subodh,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27af2d,Dolores Huerta,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/f976f8c3c93292cae241c6f9b5372b1255945288_254x191.jpg?w=255
6a034c245e700263ec4ad30f,Lauren Zalaznick,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/03c26dd72c6c52090e2e95b114cafd923196dbfd_254x191.jpg?w=255
6a034c2435bf06475c27b089,Robert Thurman,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27af2e,David Dunning,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c245e700263ec4ad376,Soyapi Mumba,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/0501f4b4e20c83ebffc11e5c25f5f6116a2efb6f_254x191.jpg?w=255
6a034c2437e0c30f44bd1cca,Debra Jarvis,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/3c1ea9bf4a1d8275a95281f7de7ead1184b9b5c8_254x191.jpg?w=255
6a034c2435bf06475c27af43,Elizabeth Waters,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c245e700263ec4ad389,Trebor Scholz,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/08a250e1dcf755720067cbef480f9c9aa39aef6b_254x191.jpg?w=255
6a034c2435bf06475c27af4d,Galit Ariel,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/27c23fcc92d170e0ce483124fbbb2f5166d3a033_254x191.jpg?w=255
6a034c25b4b11d1a485861f2,Jessica Green,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/cf4841ffcfd63759c7a8f2ead973e57f28ee8b36_254x191.jpg?w=255
6a034c2437e0c30f44bd1d20,Stacy Smith,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/7d1513fd95658b888494291912e6fabf8d6cbc0d_254x191.jpg?w=255
6a034c245e700263ec4ad390,Theo Jansen,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/15348_254x191.jpg?w=255
6a034c2435bf06475c27af5f,His Holiness Pope Francis,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27ae85,Harry Baker,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/5782d62d6d8c86c13cc06be50134bd51ce23b5ff_254x191.jpg?w=255
6a034c245e700263ec4ad3ae,Aziza Chaouni,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/63d0912689eba726cb4e230d8e56944a6e8504f8_254x191.jpg?w=255
6a034c2435bf06475c27af7d,Jon Mooallem,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/a16cacfdbffabf7cd81a6e95599174183efb01c5_254x191.jpg?w=255
6a034c2437e0c30f44bd1d2e,Tom Gruber,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/7581a0d92d6b03bf0376be7c71a888c7a5d27cf0_254x191.jpg?w=255
6a034c2437e0c30f44bd1d7d,Al Roker,https://pi.tedcdn.com/r/ted-conferences-speaker-photos-production.s3.amazonaws.com/qh43yf5c1dffa2w2e0vz3cyfvovx?w=255
6a034c245e700263ec4ad3c2,Ethan Hawke,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/5e18cc98b12c22603dc5afac6fa821855c21a5d4_254x191.jpg?w=255
6a034c24da446a102707f547,Stephen Wilkes,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/d596bcd33cc739860941f1c28fb936c539a04283_254x191.jpg?w=255
6a034c2435bf06475c27af98,Mary Robinson,https://pi.tedcdn.com/r/ted-conferences-speaker-photos-production.s3.amazonaws.com/oxa0zfkij2lvrprj61gm3i0z1djn?w=255
6a034c2437e0c30f44bd1d65,Gorick Ng,https://pi.tedcdn.com/r/ted-conferences-speaker-photos-production.s3.amazonaws.com/koo663ef72avy6z06nba0yrwccrn?w=255
6a034c245e700263ec4ad3cc,Heba Shaheed,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27af99,Mandy Len Catron,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/30989708f11f01973b523c332ceda61a5f2bc7ba_254x191.jpg?w=255
6a034c2437e0c30f44bd1d7f,Amy Smith,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/1527_253x190.jpg?w=255
6a034c245e700263ec4ad3f6,Patrícia Medici,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/f4fa30fb9fc52a1ee37cd2f28ce3b55c034fe1c9_254x191.jpg?w=255
6a034c2435bf06475c27afa1,Michael Uslan,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2437e0c30f44bd1dcc,Peter Kirn,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27ae5e,Avani Prabhakar,https://pi.tedcdn.com/r/ted-conferences-speaker-photos-production.s3.amazonaws.com/8oy2hiz9ytul470hzc6ok4vr8phk?w=255
6a034c2435bf06475c27afb9,Mindy Scheier,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/f067f841660792e3caeb5064d82ae5a3769d55d4_254x191.jpg?w=255
6a034c2437e0c30f44bd1de2,Daniela Zamudio,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c24658f0b3b67d4a2a8,Adam Savage,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/0d9027a15a5535cf51c30384a36eaf3822a98970_254x191.jpg?w=255
6a034c2435bf06475c27ae87,Heather Lanier,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/a87a66fdb822d67c95b23a09aa13cdc47dd5c290_254x191.jpg?w=255
6a034c2435bf06475c27ae65,Cady Coleman,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/05c7c99674dbe391c0126aa3bf91cbcc79d38a1e_254x191.jpg?w=255
6a034c2435bf06475c27afe7,Sergei Lupashin,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/ca560873991511ac722a27f0008dc0c62f7f2915_254x191.jpg?w=255
6a034c2437e0c30f44bd1e22,How to Be a Better Human,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27b06e,Michael Norton,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/ec8ff6851d3cd88cf1bea7aa6440aca034b4b604_254x191.jpg?w=255
6a034c2435bf06475c27ae8e,Jamie Drummond,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/4bde469d31477854b5fd28399d2bdd3dbb28956f_254x191.jpg?w=255
6a034c24658f0b3b67d4a2bb,Ali Kashani,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/b958f2e524371f2dcd1c5cce81ca068a107ed56d_254x191.jpg?w=255
6a034c2437e0c30f44bd1d1b,Schuyler Bailar,https://tedblade-public-assets.s3.us-east-1.amazonaws.com/default-avatar.jpg
6a034c2435bf06475c27af13,César Cuauhtémoc García Hernández,https://pi.tedcdn.com/r/ted-conferences-speaker-photos-production.s3.amazonaws.com/lmhes718i9n4wm0b6v9vcnmy4xlr?w=255
